"Description","Asset Title","Customer","Type","RTU","RTU Channel","Product","Data Timestamp","Template"
"Level","Cowboy Cookin 1000 lb tank","Cowboy Cookin","Level","124737455","A","Fryers Choice","5/6/2026 9:00:25 AM","SC462A020 - Liquid Level Pressure Sensor, 0.2 bar with 2 meter cable"
"Battery","Crown Plaza Resort 1150LBS Seedless Oil Tank","Crown Plaza Resort","BatteryVoltage","126038123","BATT_VOLTAGE","","5/6/2026 9:00:29 AM","UTM Battery Voltage"
"Level","Crown Plaza Resort 1150LBS Seedless Oil Tank","Crown Plaza Resort","Level","126038123","A","Canola Oil","5/6/2026 9:00:29 AM","SC462A020 - Liquid Level Pressure Sensor, 0.2 bar with 2 meter cable"
"Battery","Dillons Western Trails 975 lb tank HDP","Dillons Western Trails","BatteryVoltage","124922462","BATT_VOLTAGE","","5/6/2026 9:00:35 AM","UTM Battery Voltage"
"Level","Dillons Western Trails 975 lb tank HDP","Dillons Western Trails","Level","124922462","A","Canola Oil","5/6/2026 9:00:35 AM","SC462A020 - Liquid Level Pressure Sensor, 0.2 bar with 2 meter cable"
"Battery","Durvill Foods Durvill Foods 2500lbs Canola Oil Tank 1","Durvill Foods","BatteryVoltage","E6003810","BATT_VOLTAGE","","5/6/2026 4:00:00 AM","400 Series Battery Voltage"
"Level","Durvill Foods Durvill Foods 2500lbs Canola Oil Tank 1","Durvill Foods","Level","E6003810","1","Canola Oil","5/6/2026 4:00:00 AM","ICON SS 5v SENS-3610-05 (0-197)"
"Battery","Fate Brewery 675lbs Canola Oil","Fate Brewery","BatteryVoltage","126036891","BATT_VOLTAGE","","5/6/2026 9:00:31 AM","UTM Battery Voltage"
"Level","Fate Brewery 675lbs Canola Oil","Fate Brewery","Level","126036891","A","Canola Oil","5/6/2026 9:00:31 AM","SC462A020 - Liquid Level Pressure Sensor, 0.2 bar with 2 meter cable"
"Battery","FATE BREWERY TEMPE 700LB Canola Oil Tank Fate Brewery","FATE BREWERY TEMPE","BatteryVoltage","126032008","BATT_VOLTAGE","","5/5/2026 9:00:25 PM","UTM Battery Voltage"
"Level","FATE BREWERY TEMPE 700LB Canola Oil Tank Fate Brewery","FATE BREWERY TEMPE","Level","126032008","A","Canola Oil","5/5/2026 9:00:25 PM","SC462A020 - Liquid Level Pressure Sensor, 0.2 bar with 2 meter cable"
"Battery","Fire Rock Casino 4200lbs Tank 2","Fire Rock Casino","BatteryVoltage","E6002E44","BATT_VOLTAGE","","5/6/2026 4:00:00 AM","400 Series Battery Voltage"
"Level","Fire Rock Casino 4200lbs Tank 2","Fire Rock Casino","Level","E6002E44","1","Canola Oil","5/6/2026 4:00:00 AM","ICON PVC 5v - SENS-3660-05 (197)"
"Battery","Firerock Country Club 1150lbs Palm Oil","Firerock Country Club","BatteryVoltage","124734737","BATT_VOLTAGE","","5/6/2026 9:00:30 AM","UTM Battery Voltage"
"Level","Firerock Country Club 1150lbs Palm Oil","Firerock Country Club","Level","124734737","A","Palm Oil","5/6/2026 9:00:30 AM","SC462A020 - Liquid Level Pressure Sensor, 0.2 bar with 2 meter cable"
"Battery","Flowing Water Casino 2000LBS CANOLA OIL","Flowing Water Casino","BatteryVoltage","124734850","BATT_VOLTAGE","","5/6/2026 4:00:29 AM","UTM Battery Voltage"
"Level","Flowing Water Casino 2000LBS CANOLA OIL","Flowing Water Casino","Level","124734850","A","Canola Oil","5/6/2026 4:00:29 AM","SC462A020 - Liquid Level Pressure Sensor, 0.2 bar with 2 meter cable"
"Battery","Four Peaks Brewing 2500LB Tank Fryers Choice","Four Peaks Brewing","BatteryVoltage","124668254","BATT_VOLTAGE","","5/6/2026 2:00:30 AM","UTM Battery Voltage"
"Level","Four Peaks Brewing 2500LB Tank Fryers Choice","Four Peaks Brewing","Level","124668254","A","Fryers Choice","5/6/2026 2:00:30 AM","SC462A020 - Liquid Level Pressure Sensor, 0.2 bar with 2 meter cable"
"Battery","Frida's 675lbs Canola Oil Tank","Frida's","BatteryVoltage","124676846","BATT_VOLTAGE","","5/6/2026 4:00:32 AM","UTM Battery Voltage"
"Level","Frida's 675lbs Canola Oil Tank","Frida's","Level","124676846","A","Canola Oil","5/6/2026 4:00:32 AM","SC462A020 - Liquid Level Pressure Sensor, 0.2 bar with 2 meter cable"
"Battery","Frites Street 8000 lb -  (2)  4000 lb tanks  PALM OIL","Frites Street","BatteryVoltage","E6002196","BATT_VOLTAGE","","5/6/2026 3:01:00 AM","400 Series Battery Voltage"
"Battery","Frites Street 4000LBS Waste oil Tank","Frites Street","BatteryVoltage","E6002196","BATT_VOLTAGE","","5/6/2026 3:01:00 AM","400 Series Battery Voltage"
"Level","Frites Street 4000LBS Waste oil Tank","Frites Street","Level","E6002196","2","Canola Oil","5/6/2026 3:01:00 AM","ICON SS 5v SENS-3610-05 (0-197)"
"Level","Frites Street 8000 lb -  (2)  4000 lb tanks  PALM OIL","Frites Street","Level","E6002196","1","Canola Oil","5/6/2026 3:01:00 AM","ICON SS 5v SENS-3610-10 (0-394)"
"Battery","Harold's 1120LBS Canola Oil","Harold's","BatteryVoltage","E60035A5","BATT_VOLTAGE","","5/6/2026 4:00:00 AM","400 Series Battery Voltage"
"Daily Average Usage","Harold's 1120LBS Canola Oil","Harold's","Rate Of Change","","","","5/5/2026 11:00:00 PM","Default Rate of Change"
"Level","Harold's 1120LBS Canola Oil","Harold's","Level","E60035A5","1","Canola Oil","5/6/2026 4:00:00 AM","ICON SS 5v SENS-3610-05 (0-197)"
"Battery","Harrah Rincon Casino Casino  4000 LBS TANK 2  USED OIL","Harrah Rincon Casino","BatteryVoltage","E6002216","BATT_VOLTAGE","","1/4/2026 3:00:00 AM","400 Series Battery Voltage"
"Battery","Harrah Rincon Casino 8000LBS Tank 1","Harrah Rincon Casino","BatteryVoltage","E6002216","BATT_VOLTAGE","","1/4/2026 3:00:00 AM","400 Series Battery Voltage"
"Daily Average Usage","Harrah Rincon Casino 8000LBS Tank 1","Harrah Rincon Casino","Rate Of Change","","","","1/4/2026 12:00:00 AM","Default Rate of Change"
"Level","Harrah Rincon Casino Casino  4000 LBS TANK 2  USED OIL","Harrah Rincon Casino","Level","E6002216","2","Canola Oil","1/4/2026 3:00:00 AM","ICON SS 5v SENS-3610-05 (0-197)"
"Level","Harrah Rincon Casino 8000LBS Tank 1","Harrah Rincon Casino","Level","E6002216","1","Canola Oil","1/4/2026 3:00:00 AM","ICON SS 5v SENS-3610-05 (0-197)"
"Level Rate of Change","Harrah Rincon Casino Casino  4000 LBS TANK 2  USED OIL","Harrah Rincon Casino","Rate Of Change","","","","1/4/2026 3:00:00 AM","Default Rate of Change"
"Battery","HERMOSA INN 1150LBS Canola Oil Tank","HERMOSA INN","BatteryVoltage","E60035AA","BATT_VOLTAGE","","5/6/2026 4:00:00 AM","400 Series Battery Voltage"
"Level","HERMOSA INN 1150LBS Canola Oil Tank","HERMOSA INN","Level","E60035AA","1","Canola Oil","5/6/2026 4:00:00 AM","ICON SS 5v SENS-3610-05 (0-197)"
"Battery","Horny Toad 1000Lbs Canola Oil","Horny Toad","BatteryVoltage","124737271","BATT_VOLTAGE","","5/6/2026 4:00:46 AM","UTM Battery Voltage"
"Level","Horny Toad 1000Lbs Canola Oil","Horny Toad","Level","124737271","A","Canola Oil","5/6/2026 4:00:46 AM","SC462A020 - Liquid Level Pressure Sensor, 0.2 bar with 2 meter cable"
"Battery","Il primo Pizza & wings 1150 lb canola  fry","Il primo Pizza & wings","BatteryVoltage","E30021CC","BATT_VOLTAGE","","5/6/2026 4:00:00 AM","400 Series Battery Voltage"
"Level","Il primo Pizza & wings 1150 lb canola  fry","Il primo Pizza & wings","Level","E30021CC","1","Canola Oil","5/6/2026 4:00:00 AM","ICON SS 5v SENS-3610-05 (0-197)"
"Signal Strength","Il primo Pizza & wings 1150 lb canola  fry","Il primo Pizza & wings","Signal Strength","E30021CC","SIGNAL_STRENGTH","","5/6/2026 4:00:00 AM","400 Series Signal Strength"
"Battery","Jays Travel Center  2500lb canola","Jays Travel Center ","BatteryVoltage","150264468","BATT_VOLTAGE","","5/6/2026 9:00:26 AM","UTM Battery Voltage"
"Level","Jays Travel Center  2500lb canola","Jays Travel Center ","Level","150264468","A","Canola Oil","5/6/2026 9:00:26 AM","SC462A020 - Liquid Level Pressure Sensor, 0.2 bar with 2 meter cable"
"Battery","Jinky Jakes 700lbs","Jinky Jakes","BatteryVoltage","124672817","BATT_VOLTAGE","","5/5/2026 5:00:31 PM","UTM Battery Voltage"
"Level","Jinky Jakes 700lbs","Jinky Jakes","Level","124672817","A","Canola Oil","5/5/2026 5:01:19 PM","SC462A020 - Liquid Level Pressure Sensor, 0.2 bar with 2 meter cable"
